<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.17	16:00:00	1.01585	1.01743	1.01531	1.01667	9672	0	50
2022.08.17	17:00:00	1.01669	1.01986	1.01614	1.01623	9457	0	50
2022.08.17	18:00:00	1.01623	1.01735	1.01612	1.01615	6592	0	50
2022.08.17	19:00:00	1.01615	1.01712	1.01606	1.01651	4345	0	50
2022.08.17	20:00:00	1.01653	1.01705	1.01630	1.01688	3599	0	50
2022.08.17	21:00:00	1.01685	1.02031	1.01683	1.01847	12022	0	50
2022.08.17	22:00:00	1.01847	1.01911	1.01789	1.01804	5207	0	50
2022.08.17	23:00:00	1.01804	1.01807	1.01753	1.01807	1711	0	1
2022.08.18	00:00:00	1.01776	1.01792	1.01739	1.01761	508	0	11
2022.08.18	01:00:00	1.01761	1.01802	1.01748	1.01781	1342	0	1
2022.08.18	02:00:00	1.01771	1.01785	1.01723	1.01775	771	0	1
2022.08.18	03:00:00	1.01775	1.01930	1.01743	1.01878	2637	0	1
2022.08.18	04:00:00	1.01878	1.01916	1.01836	1.01869	3355	0	1
2022.08.18	05:00:00	1.01875	1.01894	1.01799	1.01801	2218	0	1
2022.08.18	06:00:00	1.01801	1.01809	1.01671	1.01705	1961	0	1
2022.08.18	07:00:00	1.01704	1.01719	1.01631	1.01671	1712	0	50
2022.08.18	08:00:00	1.01670	1.01786	1.01633	1.01646	2663	0	50
2022.08.18	09:00:00	1.01644	1.01673	1.01492	1.01513	6674	0	50
2022.08.18	10:00:00	1.01513	1.01648	1.01461	1.01614	7785	0	50
2022.08.18	11:00:00	1.01616	1.01769	1.01606	1.01670	5776	0	50
2022.08.18	12:00:00	1.01673	1.01738	1.01582	1.01703	4169	0	50
2022.08.18	13:00:00	1.01703	1.01816	1.01648	1.01737	4366	0	50
2022.08.18	14:00:00	1.01737	1.01883	1.01716	1.01774	5360	0	50
2022.08.18	15:00:00	1.01774	1.01869	1.01582	1.01695	9404	0	50
2022.08.18	16:00:00	1.01700	1.01721	1.01214	1.01236	9397	0	50
2022.08.18	17:00:00	1.01236	1.01318	1.01117	1.01288	8223	0	50
2022.08.18	18:00:00	1.01289	1.01395	1.01124	1.01125	6019	0	50
2022.08.18	19:00:00	1.01125	1.01153	1.00888	1.00903	5106	0	50
2022.08.18	20:00:00	1.00903	1.00936	1.00792	1.00816	6418	0	50
2022.08.18	21:00:00	1.00816	1.00935	1.00810	1.00906	3469	0	50
2022.08.18	22:00:00	1.00908	1.00991	1.00904	1.00941	2889	0	50
2022.08.18	23:00:00	1.00941	1.00946	1.00856	1.00875	1468	0	1
